Observation ID,Filter,Magnitude_5.0,Magnitude_Error_5.0,Flux_5.0,Flux_Error_5.0,Magnitude_7.0,Magnitude_Error_7.0,Flux_7.0,Flux_Error_7.0,Magnitude_10.0,Magnitude_Error_10.0,Flux_10.0,Flux_Error_10.0,Magnitude_15.0,Magnitude_Error_15.0,Flux_15.0,Flux_Error_15.0,Magnitude_20.0,Magnitude_Error_20.0,Flux_20.0,Flux_Error_20.0,Magnitude_25.0,Magnitude_Error_25.0,Flux_25.0,Flux_Error_25.0,Magnitude_30.0,Magnitude_Error_30.0,Flux_30.0,Flux_Error_30.0,Magnitude_35.0,Magnitude_Error_35.0,Flux_35.0,Flux_Error_35.0
00096110001,um2,15.435959,0.032224815,3.1064728e-15,9.220059e-17,15.378763,0.03154874,3.2745063e-15,9.514884e-17,15.32687,0.03116412,3.4348118e-15,9.859015e-17,15.254102,0.030990452,3.672911e-15,1.0483686e-16,15.202667,0.031485185,3.8510933e-15,1.1167758e-16,15.169384,0.032670245,3.9709764e-15,1.1948829e-16,15.142171,0.03440443,4.071765e-15,1.2902465e-16,15.130699,0.036994237,4.115015e-15,1.402107e-16
00096111001,uuu,14.720933,0.012018993,4.564583e-15,5.0726844e-17,14.659614,0.0116693685,4.829147e-15,5.2088675e-17,14.603717,0.011439155,5.08386e-15,5.370344e-17,14.52573,0.011202216,5.4623185e-15,5.647536e-17,14.459029,0.011080424,5.8082248e-15,5.929456e-17,14.412581,0.011138126,6.0623033e-15,6.2048525e-17,14.374099,0.011264503,6.282072e-15,6.4837566e-17,14.316826,0.01113489,6.623484e-15,6.748025e-17
00096112001,uw1,12.9178295,0.0073969755,2.7104853e-14,1.8466173e-16,12.864784,0.0070895753,2.8461984e-14,1.8584935e-16,12.808731,0.006765743,2.9969977e-14,1.867573e-16,12.7354765,0.006335516,3.206184e-14,1.8708808e-16,12.677722,0.005980351,3.3813494e-14,1.8624833e-16,12.631296,0.005674063,3.529073e-14,1.8442954e-16,12.6003065,0.0054481076,3.631253e-14,1.8221238e-16,12.569693,0.0052057854,3.735098e-14,1.7908695e-16
00096112001,um2,13.070503,0.010086045,2.7445712e-14,2.549512e-16,13.014392,0.009760995,2.8901533e-14,2.59806e-16,12.96454,0.009489711,3.0260052e-14,2.645362e-16,12.902359,0.009185582,3.204378e-14,2.7120124e-16,12.854024,0.008987348,3.3502494e-14,2.7747592e-16,12.821376,0.008910908,3.4524975e-14,2.8355667e-16,12.802558,0.0089568095,3.5128554e-14,2.9001013e-16,12.784905,0.009052593,3.5704607e-14,2.9795408e-16
00096113001,uuu,14.383286,0.006318113,6.227873e-15,3.6241218e-17,14.258081,0.00585608,6.989109e-15,3.76968e-17,14.086152,0.0052009164,8.188296e-15,3.922375e-17,13.823775,0.0040434822,1.0426635e-14,3.8830717e-17,13.664953,0.0030251548,1.2069052e-14,3.3627645e-17,13.5546055,0.006614966,1.3360182e-14,8.139836e-17,13.456324,0.006830289,1.4625974e-14,9.201095e-17,13.349134,0.0070041544,1.6143606e-14,1.0414344e-16
00096113003,uw1,14.426327,0.019478973,6.757042e-15,1.224947e-16,14.319744,0.01854852,7.4533826e-15,1.284225e-16,14.18012,0.017430684,8.47543e-15,1.3683138e-16,13.959969,0.01569885,1.03819736e-14,1.5152428e-16,13.8533325,0.015242433,1.1451999e-14,1.6173337e-16,13.794361,0.015333237,1.20911344e-14,1.7173265e-16,13.754688,0.015762433,1.2541329e-14,1.8321439e-16,13.713419,0.016314065,1.3027792e-14,1.9723324e-16
00096113003,um2,14.585015,0.0194385,6.802132e-15,1.217821e-16,14.492602,0.01863168,7.406453e-15,1.2709778e-16,14.35884,0.01753559,8.377513e-15,1.3530417e-16,14.145915,0.015935855,1.0192599e-14,1.4960152e-16,14.045898,0.015411552,1.1176141e-14,1.5864043e-16,13.994962,0.015396899,1.1712956e-14,1.6610223e-16,13.969392,0.015726468,1.19920705e-14,1.7370049e-16,13.945728,0.016218955,1.2256307e-14,1.8308727e-16
00096114001,uw2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00096114001,um2,16.932657,0.07504749,7.8268655e-16,5.4100312e-17,16.763096,0.07131477,9.149822e-16,6.009908e-17,16.600399,0.06945115,1.0628971e-15,6.799021e-17,16.38167,0.06849917,1.3001194e-15,8.2024626e-17,16.232279,0.07033485,1.4918988e-15,9.664639e-17,16.125105,0.07412964,1.646681e-15,1.1242867e-16,16.049738,0.07977977,1.7650466e-15,1.2969542e-16,15.955917,0.084369116,1.9243504e-15,1.4953516e-16
00096115001,um2,17.527208,0.06660527,4.5315373e-16,2.802021e-17,17.365395,0.06427182,5.2601794e-16,3.139e-17,17.17871,0.06294605,6.243072e-16,3.6400798e-17,17.02687,0.066843085,7.176532e-16,4.424347e-17,16.993801,0.07754193,7.408207e-16,5.2266803e-17,16.882092,0.083982125,8.2172636e-16,6.25451e-17,16.853075,0.09655713,8.454094e-16,7.343589e-17,16.767654,0.10409558,9.129848e-16,8.614931e-17
