Name,Target ID,Observation ID,Filter,Exposure Time (s),Date/Time of Observation,RA (J2000),Dec (J2000),RA (deg),Dec (deg),2MASS RA (deg),2MASS Dec (deg),Redshift
MRK279,96117,00096117004,UVM2,700.7,2021-10-11T02:10:03,13:53:03.4116,+69:18:30.331,208.2642,69.3084,208.2639,69.308,0.030451
MRK279,96117,00096117005,UVW1,774.8,2021-11-09T09:53:48,13:53:03.4116,+69:18:30.331,208.2642,69.3084,208.2639,69.308,0.030451
MRK335,96118,00096118001,UVM2,90.4,2021-07-23T03:27:24,0:06:19.5073,+20:12:10.936,1.5813,20.203,1.5816,20.2029,0.025785
MRK335,96118,00096118002,U,144.6,2021-07-25T04:43:28,0:06:19.5118,+20:12:10.285,1.5813,20.2029,1.5816,20.2029,0.025785
MRK335,96118,00096118003,UVM2,256.2,2021-08-16T00:50:35,0:06:19.5073,+20:12:10.936,1.5813,20.203,1.5816,20.2029,0.025785
MRK335,96118,00096118004,UVW1,510.3,2021-08-17T08:38:17,0:06:19.5031,+20:12:10.945,1.5813,20.203,1.5816,20.2029,0.025785
MRK335,96118,00096118005,U,108.5,2021-08-18T00:08:05,0:06:19.5073,+20:12:10.936,1.5813,20.203,1.5816,20.2029,0.025785
MRK335,96118,00096118006,UVM2,172.7,2021-08-24T03:06:00,0:06:19.5073,+20:12:10.936,1.5813,20.203,1.5816,20.2029,0.025785
MRK509,96119,00096119001,UVM2,337.2,2021-06-05T14:35:13,20:44:09.7304,-10:43:24.984,311.0405,-10.7236,311.0406,-10.7235,0.034397
MRK509,96119,00096119002,UVW1,437.1,2021-07-08T12:41:31,20:44:09.7304,-10:43:24.984,311.0405,-10.7236,311.0406,-10.7235,0.034397
MRK509,96119,00096119003,U,449.4,2021-07-09T09:21:19,20:44:09.7256,-10:43:24.636,311.0405,-10.7235,311.0406,-10.7235,0.034397
MRK590,96120,00096120001,UVW2,399.7,2021-06-08T20:49:09,2:14:33.6037,-0:46:00.015,33.64,-0.7667,33.6399,-0.7667,0.026385
MRK590,96120,00096120002,U,834.7,2021-06-11T04:27:47,2:14:33.6037,-0:46:00.015,33.64,-0.7667,33.6399,-0.7667,0.026385
MRK590,96120,00096120002,UVW2,488.5,2021-06-12T04:29:39,2:14:33.6037,-0:46:00.015,33.64,-0.7667,33.6399,-0.7667,0.026385
MRK590,96120,00096120003,UVM2,543.4,2021-06-13T09:08:43,2:14:33.6037,-0:46:00.015,33.64,-0.7667,33.6399,-0.7667,0.026385
MRK590,96120,00096120003,UVW1,417.3,2021-06-14T18:27:51,2:14:33.6037,-0:46:00.015,33.64,-0.7667,33.6399,-0.7667,0.026385
MRK79,96121,00096121001,UVM2,844.8,2021-09-01T02:32:37,7:42:32.8080,+49:48:34.920,115.6367,49.8097,115.637,49.8097,0.022212
MRK841,96122,00096122001,UVM2,185.4,2021-09-21T13:35:47,15:04:01.1678,+10:26:15.960,226.0049,10.4378,226.0049,10.4379,0.036422
MRK841,96122,00096122002,UVW2,779.9,2021-12-13T14:21:43,15:04:01.1678,+10:26:15.960,226.0049,10.4378,226.0049,10.4379,0.036422
MRK841,96122,00096122002,U,977.8,2021-12-12T22:23:22,15:04:01.1678,+10:26:15.960,226.0049,10.4378,226.0049,10.4379,0.036422
NGC1365,96123,00096123001,UVW1,523.2,2021-04-11T01:22:04,3:33:36.1097,-36:08:25.424,53.4005,-36.1404,53.4019,-36.1407,0.005457
NGC1365,96123,00096123001,U,586.0,2021-04-12T02:48:00,3:33:36.1097,-36:08:25.424,53.4005,-36.1404,53.4019,-36.1407,0.005457
NGC1365,96123,00096123002,UVW1,568.8,2021-04-19T19:41:18,3:33:36.1097,-36:08:25.424,53.4005,-36.1404,53.4019,-36.1407,0.005457
